method,space,seed,eval_index,C,epsilon,gamma,mae,std_mae,rmse,std_rmse,r2,std_r2
random,narrow,2,23,821.5640771740516,0.9373431437289681,0.0007317023538754564,1.1688684247805399,0.09913787560208172,1.4986340602162431,0.10505199580906587,0.9230704503867349,0.01696395648676583
random,narrow,2,24,3358.08038728373,0.6172721367052832,0.0013333198481024003,1.2511699272019008,0.018676216138891234,1.582425123833735,0.04256768683607331,0.9144314568481116,0.01449563473774032
random,narrow,2,25,240.0326195324206,0.2266260633591367,0.03703607819484465,1.8342096760725126,0.20476345253538814,2.4783378588509537,0.3339843371187339,0.7938675185617836,0.026728201731438445
random,narrow,2,26,1728.6929053618635,0.04201178906868608,0.0011305400829980893,1.1831929557223666,0.06074897832002002,1.513192803888468,0.07694957661240374,0.9216847755713866,0.015138178834340148
random,narrow,3,0,2.526171710206267,0.8012744652063969,7.515449494844694e-05,2.819690343918927,0.25513273525517915,3.6573440618898507,0.4217474432720102,0.551392418460743,0.0356687078989647
random,narrow,3,1,543.9537124443467,0.4331269402364738,2.229353940701263e-05,1.4403015696634982,0.13003918538822393,1.884124605866451,0.17385995976073182,0.8803207116680772,0.012222463788909222
random,narrow,3,2,178.2574462726951,0.7345771514092145,3.898247901448963e-05,1.5273712782724347,0.13104369921757994,1.986902712364465,0.19664003126432483,0.8671866443798846,0.011594078957126358
random,narrow,3,3,3.4209081360776623,0.5167401826213637,0.00027998923986402856,1.9977216694717839,0.19131322582007065,2.5964462016274,0.31849845614024314,0.7737020204551098,0.025421082059283652
random,narrow,3,4,105.56213152079107,0.7378377872921602,0.0014809838218101687,1.1554576669996468,0.10515279643299812,1.5184110304866651,0.123113756259522,0.9215632578798578,0.014156592986116212
random,narrow,3,5,31150.939303556872,0.648547207079825,0.00011252566285171252,1.1500422855095707,0.0950661662687663,1.4942402987129102,0.1285002185839859,0.9233781853756344,0.01869750571458838
random,narrow,3,6,1868.521437620178,0.0014900835088361708,0.00012099439999219045,1.185238156722401,0.0955075110612885,1.6054861535435243,0.1389380533886558,0.912081228545621,0.017292837903235988
random,narrow,3,7,37519.81009425896,0.3139860020343368,0.0001269922369209584,1.1770732435364581,0.12134376056456155,1.6133053370004042,0.29716497525128194,0.9065069472910589,0.04988164098937375
random,narrow,3,8,15492.573762051801,0.47130966518183137,0.0014604952952612488,1.2675149997082187,0.016507462271083097,1.6169421773051922,0.044006539356229654,0.9106689427993506,0.015011120449941389
random,narrow,3,9,4301.356843173893,0.7069650956556235,1.2949379900185589e-05,1.338691401531643,0.12126098686221018,1.7689368546981605,0.1540116108155313,0.8939525443308408,0.015719830109795472
random,narrow,3,10,57.35358213376421,0.6605000674278948,2.1680109035557898e-05,1.929373206635244,0.17842801957345977,2.504091554192393,0.2902499923028324,0.7894202702380728,0.02179114888026241
