method,space,seed,eval_index,C,epsilon,gamma,mae,std_mae,rmse,std_rmse,r2,std_r2
bayesian,narrow,2,4,4.289306951662042,0.18443986564691528,0.00079379811897409,1.6047254119983247,0.08227690361699107,2.097272283721277,0.12634150510364478,0.8516417845315866,0.011658273913547934
bayesian,narrow,2,5,4900.792365796865,0.4942368373819278,0.014415476150136577,1.328525416957025,0.04739376925151132,1.749062438099354,0.04343425570607783,0.8964364910917191,0.009826086920112229
bayesian,narrow,2,6,9505.326224481954,0.505246090121704,1.9706351747404865e-05,1.238701679626669,0.04173201963628534,1.6567266595966283,0.07869013300999246,0.9070264003597854,0.011152876939269285
bayesian,narrow,2,7,2.0266526728253216,0.09653091566061256,0.0003833642826200497,2.0821089750065993,0.1614380766831056,2.7242100062505807,0.24262562458637438,0.7495403272398404,0.03204926768342684
bayesian,narrow,2,8,3.958411072624855,0.22601200060423587,0.001611918197217769,1.4679415408768846,0.07099567567195267,1.93243210246062,0.08389585947958494,0.8740544980495141,0.006138815901442411
bayesian,narrow,2,9,3.180786816337923,0.34982628500329926,6.529892801786387e-05,2.749307049264199,0.12396757146726743,3.58037976151234,0.22609717415635597,0.5679474166231904,0.03079801771085951
bayesian,narrow,2,10,328.35672210167206,0.0,0.001575687457031781,1.1495571109099585,0.0575168061764395,1.5356431499815812,0.07222253693456672,0.919683721891037,0.013235390395755076
bayesian,narrow,2,11,8022.600035680835,1.0,0.0003526877885101491,1.2066255969121027,0.04963882655202161,1.5783123496217617,0.07699688330300375,0.9156983645667713,0.009328067700534058
bayesian,narrow,2,12,40.15817835780503,0.0,0.05,2.076619373266746,0.12753327705021023,2.8441779091375734,0.11731465472969525,0.7270084288000778,0.016388452100251555
bayesian,narrow,2,13,50000.0,0.0,0.0007583848163131093,1.5334994904174253,0.14237195711294007,1.9768409238565134,0.20826250300228677,0.8671725320716451,0.02729933734644853
bayesian,narrow,2,14,495.87511295321764,1.0,0.0010282446716159484,1.1632310581632472,0.0485095544691901,1.510310380508032,0.06319550856780297,0.9224655537556978,0.011195497076318296
bayesian,narrow,2,15,84.05424009371822,0.07811655289406387,0.0012358730038395343,1.1232530358428188,0.0338256661572537,1.5256357560023317,0.06503038623911532,0.9210411907936287,0.010497831971426414
bayesian,narrow,2,16,50000.0,0.9999999999999999,1e-05,1.252991787037821,0.04542301467017576,1.6624007996338848,0.05597549562578754,0.9063606386792289,0.010652108165072614
bayesian,narrow,2,17,50000.0,1.0,0.05,2.2891964362375914,0.15428088700069048,3.048111419682801,0.14380049956538754,0.6864777915360986,0.020831331604072793
bayesian,narrow,2,18,2288.7261062960615,1.0,0.00010773003281582963,1.2253572921407483,0.03577651220788247,1.6219974367704253,0.052776194337919906,0.9107946454824065,0.010685590921735632
bayesian,narrow,2,19,2207.66939883805,1.0,0.003463472627135746,1.2380181123001908,0.04388440832921204,1.587229839890753,0.05322729037410444,0.9146974211373715,0.008789105700613437
bayesian,narrow,2,20,1472.2839974694698,0.0,0.0003435236682696583,1.1311820879616237,0.04607613454210444,1.548098700784503,0.07104771924379849,0.9188001490541303,0.010006298814672042
bayesian,narrow,2,21,50000.0,0.0,1e-05,1.2297684318274005,0.05740164752814299,1.6518843959148874,0.09928325070198551,0.9074567175530224,0.013125893637483094
bayesian,narrow,2,22,411.88243715304617,0.0,0.0006064351561432145,1.1217194511044128,0.044172090610452554,1.5237947109075471,0.07093797506086724,0.9211767216857257,0.011241786217797495
bayesian,narrow,2,23,2864.8644262629523,0.0,0.0028011187848644174,1.3861057241634858,0.09907814091010211,1.7808531247188841,0.12084404331031538,0.8926790140817561,0.013724722016309714
bayesian,narrow,2,24,50000.0,0.0,6.372002768649316e-05,1.1684988868759683,0.02446018282872717,1.6387983826026162,0.18416141089032104,0.9091165874628722,0.016393970435781117
bayesian,narrow,2,25,253.8223270772863,1.0,0.005694174202259551,1.2433070922224487,0.03846203431025749,1.6068555767073267,0.051738242555563724,0.9126237091661429,0.008265081749176345
bayesian,narrow,2,26,5991.3172307113,0.0,0.00010757449254126077,1.1421628909438748,0.040516782146841825,1.5589071895557374,0.07391296169045757,0.9178238701471196,0.008153781692785012
bayesian,narrow,2,27,50000.0,1.0,6.991307042581262e-05,1.21438990535724,0.04927036206216401,1.6169695690092774,0.14178197913539892,0.9115129223809089,0.013029844359734978
bayesian,narrow,2,28,775.8185166969376,0.0,0.0002532676007010956,1.1525551322207903,0.04283780186774087,1.5538707328764718,0.07602775040173379,0.9181386229079338,0.010707602119021364
bayesian,narrow,2,29,179.62749214371314,0.0,0.0008732715519159399,1.1185414997372234,0.03976386454902081,1.517487672170364,0.0712874953037977,0.9218141640105468,0.01124924422525888
bayesian_llm_init,narrow,2,0,2.0,0.0,2e-05,3.722813062638251,0.12027682441468267,4.786007648148059,0.21227629824930397,0.22817815248042478,0.014036651733384172
bayesian_llm_init,narrow,2,1,10.0,0.05,0.0002,1.7732647518174676,0.10683639504095445,2.310183252387569,0.1836083723569222,0.819896539476076,0.02055600147509145
bayesian_llm_init,narrow,2,2,50.0,0.1,0.001,1.166738381000891,0.029212517119421147,1.5767606557650058,0.05791030619971029,0.9157990250845085,0.009335451577389766
bayesian_llm_init,narrow,2,3,200.0,0.0,0.005,1.2667049463351845,0.06560645983502786,1.6531697566425414,0.054128012050206405,0.9074566433562694,0.009241417237776049
bayesian_llm_init,narrow,2,4,800.0,0.15,0.0005,1.1278153347312472,0.04336653713199473,1.5312794895168949,0.06051198771201177,0.9204762778902855,0.01030690786994209
bayesian_llm_init,narrow,2,5,3000.0,0.05,8e-05,1.1879214453843483,0.04675750489414469,1.6011212943051376,0.09099379885697446,0.913036794658822,0.012358314274850507
bayesian_llm_init,narrow,2,6,15000.0,0.2,0.01,1.2623035926540802,0.0580743320933338,1.6554223658762948,0.037610271350719274,0.9072935643748641,0.007713374064229285
bayesian_llm_init,narrow,2,7,120.0,0.1,0.03,1.634567125851922,0.06521905638405431,2.220135137143483,0.05483461663674238,0.833451902565329,0.011521262305626891
bayesian_llm_init,narrow,2,8,45000.0,0.0,5e-05,1.1442974502300853,0.03862353419479648,1.593386088046092,0.12851388353309223,0.914214834608549,0.010743421183619
bayesian_llm_init,narrow,2,9,600.0,0.3,0.002,1.2286912725233292,0.09670756432792348,1.6044161046649446,0.10359843439675528,0.9122906724497041,0.015093507444268137
bayesian_llm_init,narrow,2,10,50000.0,0.0,0.00038460508716307883,1.458491777969861,0.12095264837652234,1.9305170198843769,0.167410426273331,0.874015561070524,0.017619382485720682
bayesian_llm_init,narrow,2,11,50000.0,1.0,2.0469727149077018e-05,1.2211529838952142,0.05088848556974332,1.619977051771197,0.060566636455535026,0.9111056087188839,0.009941362995532381
bayesian_llm_init,narrow,2,12,50000.0,1.0,0.05,2.2891964362375914,0.15428088700069048,3.048111419682801,0.14380049956538754,0.6864777915360986,0.020831331604072793
bayesian_llm_init,narrow,2,13,49999.99999999992,0.0,1e-05,1.229775807922762,0.057428765874584564,1.6518929910464404,0.09929491243798337,0.9074558220537149,0.01312568273393936
bayesian_llm_init,narrow,2,14,1654.5314384117817,0.9999999999999999,0.00020243554443707666,1.1910023382087949,0.039080710458946795,1.571781603866903,0.06608477038368842,0.9161130706751978,0.01181327537002516
bayesian_llm_init,narrow,2,15,1.0,1.0,0.004032785249105158,1.760670484586822,0.09302145738634092,2.30838905590877,0.15143977629915534,0.8204778488579679,0.012042316253807427
bayesian_llm_init,narrow,2,16,15666.89053373004,0.6106614370697996,6.660423184901822e-05,1.157290639139519,0.05508106201927352,1.5895405614898006,0.12236958437519925,0.9145549881409206,0.01103670568060764
bayesian_llm_init,narrow,2,17,242.78037162401773,0.0,0.0006332731824931048,1.1274459134586168,0.03523767289249036,1.5272393838039622,0.06778029232313343,0.9208915621130693,0.010379972964472918
bayesian_llm_init,narrow,2,18,8298.39346693316,0.0,0.004230197515065868,1.3378175545318083,0.085263664832991,1.7229088146551124,0.08880026764802439,0.89960329278222,0.010467228167019137
bayesian_llm_init,narrow,2,19,207.68727748435902,0.6831321855705019,0.0006025032231663209,1.163871999204066,0.019938734798509106,1.5589949433980133,0.04792127512178151,0.9176026107524281,0.009817194300134979
bayesian_llm_init,narrow,2,20,1694.6108787258192,0.1808556028243165,0.00021632978677395224,1.139656235221965,0.04297298392198896,1.5515804582945938,0.07608910054369093,0.9185353848732942,0.008990221379029498
bayesian_llm_init,narrow,2,21,50000.0,0.25850625993225534,2.8333410286073048e-05,1.1544609333628322,0.0527001420075039,1.5635433014266344,0.08604872029499856,0.9172477883077121,0.009714698444788084
bayesian_llm_init,narrow,2,22,478.3989113699756,0.2658576553804039,0.00041016319761547196,1.1384640778520332,0.035395951376415574,1.5437889488921832,0.06834716249248701,0.9192263257803017,0.01013243279180458
bayesian_llm_init,narrow,2,23,8425.193752215926,0.0,0.00011263172481270106,1.1358476773088177,0.03654391142348092,1.5685683518592384,0.09069266954252321,0.9168359268083401,0.0086450945471363
bayesian_llm_init,narrow,2,24,1854.442541710779,1.0,0.0006107001073250174,1.1832616570478582,0.052017455989808246,1.529965871951028,0.06093838043492231,0.9205204661961617,0.010802465979255646
bayesian_llm_init,narrow,2,25,1791.7385878352634,1.0,0.006591876737616573,1.2527963389713652,0.03761171456150153,1.6223077056830273,0.05507929093620935,0.9109192293006287,0.00872148768652599
bayesian_llm_init,narrow,2,26,50000.0,1.0,8.012628274643721e-05,1.2144740926720838,0.05253338924180918,1.6285537557592153,0.1581207447566083,0.9102399221210536,0.01422718356755105
bayesian_llm_init,narrow,2,27,888.8008373096252,0.0,0.00037898492408845464,1.1275822651574203,0.04290648409524835,1.5365548252384844,0.06892942232093915,0.9199823916812877,0.010030383221258961
bayesian_llm_init,narrow,2,28,224.80384814690177,0.0,0.0008754373675141245,1.1180920524757618,0.0436038837948507,1.5169305491164535,0.0726820761043556,0.921811181122574,0.011863063953761976
bayesian_llm_init,narrow,2,29,2131.9505022051144,0.0,0.01052236294064377,1.29202994298566,0.06071799270922548,1.6914907173980551,0.03820546344571553,0.903215556050748,0.008013903222434164
bayesian,narrow,3,0,387.42070104049196,0.2909047389129443,0.004163106820279628,1.2587617337239163,0.0835657792910032,1.631254171216773,0.0696184825125022,0.9098697199701353,0.009930805064035262
bayesian,narrow,3,1,251.3990279986827,0.8962930889334381,0.020090187943849203,1.519010166809982,0.05769859437391438,2.0034362721885834,0.06106582932558227,0.8642498169885642,0.011886786964368084
bayesian,narrow,3,2,3.8915409682941253,0.05146720330082988,5.8423179693322064e-05,2.6889166824943778,0.12197714979994016,3.5057844704974257,0.21919026933055252,0.5857197155381079,0.029809151390470818
bayesian,narrow,3,3,117.85614538993764,0.4568332243947111,1.2897668426168225e-05,1.8724729868090726,0.11917181615990635,2.4375027773163236,0.20238546187031398,0.7994605992482642,0.02439378429703199
bayesian,narrow,3,4,1122.815523208777,0.6762549019801313,0.0001071805805519764,1.2279293177100352,0.035980072207744865,1.6405431671045427,0.05564673233390526,0.9088702153206769,0.009740486277227003
bayesian,narrow,3,5,597.6496310247026,0.558854087990882,1.2266149782149244e-05,1.5101405704844453,0.04716624206289008,1.9713291288761028,0.06538119416365223,0.868839523552241,0.006880197977400367
bayesian,narrow,3,6,16.527968313413872,0.28352508177131874,0.0003431206662396041,1.503357358574282,0.062433012131651665,1.9655358895469472,0.08306343909312663,0.8696402193857675,0.00772150117479122
bayesian,narrow,3,7,1807.3168058404267,0.15686773847496327,0.0004258190531938132,1.1423536704052093,0.04674189316094819,1.5479819978418345,0.07307834236731657,0.9187312087733867,0.010986433283293505
bayesian,narrow,3,8,362.4844648993496,0.30636353237617975,0.007697698695462198,1.2407392921950582,0.059492693909953154,1.6236105162117465,0.04470273468350612,0.9107889968140164,0.008063576511683972
bayesian,narrow,3,9,11.040110972144076,0.9363836498604304,0.0002723290958924006,1.684994154299303,0.08663524667449204,2.1900174105752153,0.13476540156729716,0.8381386979494421,0.014572080217583654
bayesian,narrow,3,10,50000.0,0.0,8.207490284871873e-05,1.1897297922345191,0.023195700204075142,1.643554919803099,0.15546184739225719,0.908612202169253,0.0141064396366433
bayesian,narrow,3,11,50000.0,1.0,0.00029268600116239674,1.2790548629095342,0.08274191421614081,1.6759075839787332,0.1308568289792778,0.9049750270983555,0.013278764488845504
bayesian,narrow,3,12,5.186984743970593,0.0,0.00598322529070418,1.2968650201971088,0.05701352483058712,1.750493740128442,0.0716626561104491,0.8964303638776279,0.009188071642733355
bayesian,narrow,3,13,50000.0,1.0,1e-05,1.252991787037821,0.04542301467017576,1.6624007996338848,0.05597549562578754,0.9063606386792289,0.010652108165072614
bayesian,narrow,3,14,50000.0,0.0,0.014392403545462106,1.3365168902416085,0.04735039484384693,1.75736463113288,0.019735143769913675,0.8955412850702696,0.00807719361234771
bayesian,narrow,3,15,15019.831766586845,1.0,5.308858290814578e-05,1.2047469566496645,0.043884439680711894,1.5954155754519797,0.06563984775268973,0.9137496411843522,0.01034897673112262
bayesian,narrow,3,16,5908.3622945621455,0.0,0.00017870926498252622,1.1455657627067652,0.03752796900277862,1.5893836346330936,0.10974051315535924,0.9146090169207687,0.009971646414391824
bayesian,narrow,3,17,174.98789353531942,0.0,0.0009110322882385993,1.1178741987432446,0.040424117336964285,1.5167354444419403,0.07147539118289238,0.9218781445805231,0.011383098968143636
bayesian,narrow,3,18,1.0,0.0,0.05,3.171362957038595,0.1697455913032781,4.259222340214854,0.21477919913371363,0.38883945037858086,0.01966757628174153
bayesian,narrow,3,19,12.091682253278044,0.0,0.0020086215618927367,1.2305984089589441,0.044562506973249434,1.6576678948496497,0.049744312683903905,0.9071445202735768,0.0070169600327551415
bayesian,narrow,3,20,314.35719315794336,1.0,0.0007167593544035979,1.1646241871234697,0.022386549475956113,1.5318969151420643,0.038429365447395884,0.9204012800545032,0.009489494955674416
bayesian,narrow,3,21,36903.198677807595,0.0,1.6685756867643737e-05,1.2083817295197992,0.06231225424486277,1.6246293201217952,0.09680218392293294,0.910523381731538,0.01228575543497683
bayesian,narrow,3,22,50000.0,1.0,0.05,2.2891964362375914,0.15428088700069048,3.048111419682801,0.14380049956538754,0.6864777915360986,0.020831331604072793
bayesian,narrow,3,23,49999.99999999992,0.0,0.0030531763757287674,1.3756263294481232,0.09602995257271145,1.7679636170821265,0.11366013548363904,0.8942480302673774,0.012888646663347615
bayesian,narrow,3,24,14.291020237990473,0.9999999999999999,0.004113402150720115,1.2414270383374995,0.04371045105136472,1.6490400554931912,0.04548892915058395,0.9081398432888239,0.006058950276943851
bayesian,narrow,3,25,3002.9280235997917,1.0,0.00020670140589673053,1.182586493587874,0.03875166342795355,1.5528331181581643,0.06316457548219237,0.9181737175670331,0.011101359011829315
bayesian,narrow,3,26,357.7266229012826,0.0,0.0005713050070005205,1.124165585275862,0.03843045988478278,1.5256521761253516,0.06914028157247647,0.9210376243530977,0.01066929025021642
bayesian,narrow,3,27,666.7006164023878,0.0,0.0008433794849726196,1.1519149048008572,0.0639212957797001,1.5358828766746295,0.09250420312716057,0.9194773442569145,0.015225999212090804
bayesian,narrow,3,28,7657.595202054528,0.0,5.6999301266032345e-05,1.1781340173752426,0.057913290301232496,1.5863326290793924,0.08989520275975983,0.9147216523364575,0.011205558784561857
bayesian,narrow,3,29,8969.107681323432,0.9999999999999999,0.0075677485142825116,1.2665370357773258,0.03922171553042803,1.6426444473874735,0.059256714641043914,0.9086484751564351,0.009357067777594513
bayesian_llm_init,narrow,3,0,2.0,0.0,2e-05,3.722813062638251,0.12027682441468267,4.786007648148059,0.21227629824930397,0.22817815248042478,0.014036651733384172
bayesian_llm_init,narrow,3,1,10.0,0.05,0.0002,1.7732647518174676,0.10683639504095445,2.310183252387569,0.1836083723569222,0.819896539476076,0.02055600147509145
bayesian_llm_init,narrow,3,2,50.0,0.1,0.001,1.166738381000891,0.029212517119421147,1.5767606557650058,0.05791030619971029,0.9157990250845085,0.009335451577389766
bayesian_llm_init,narrow,3,3,200.0,0.0,0.005,1.2667049463351845,0.06560645983502786,1.6531697566425414,0.054128012050206405,0.9074566433562694,0.009241417237776049
